casts,directors,rate,title
"徐帆,张静初,李晨,陈道明,张子枫",冯小刚,7.7,唐山大地震
"黄轩,杨采钰,徐帆,莉迪亚·佩克汉,赵淑珍",冯小刚,6.4,只有芸知道
"成龙,古天乐,蔡志强,许冠文,蔡卓妍",陈木胜,7.3,宝贝计划
"于斌,郑繁星,王一菲,高寒,何龙龙",裘仲维,4.5,陈情令之生魂
"赵又廷,冯绍峰,林更新,阮经天,马思纯",徐克,6.1,狄仁杰之四大天王
"刘德华,刘若英,王宝强,李冰冰,葛优",冯小刚,7.9,天下无贼
"彭于晏,倪妮,余文乐,俞飞鸿,欧豪",郭子健,5.1,悟空传
"姜文,香川照之,袁丁,姜宏波,丛志军",姜文,9.2,鬼子来了
"杨幂,柯震东,郭采洁,凤小岳,郭碧婷",郭敬明,4.9,小时代2：青木时代
"刘亦菲,杨洋,罗晋,严屹宽,李纯","赵小丁,安东尼·拉默里纳拉",3.9,三生三世十里桃花
"陶泽如,李岷城,嵇波,胡先煦,郑伟",吴天明,8.2,百鸟朝凤
"邓超,孙俪,代乐乐,梁超,杨新鸣","俞白眉,邓超",4.2,恶棍天使
"李易峰,张慧雯,蒋劲夫,魏大勋,杜天皓",何炅,4.3,栀子花开
"张震,杨幂,张译,雷佳音,辛芷蕾",路阳,7.2,绣春刀II：修罗战场
"克里斯·帕拉特,布莱丝·达拉斯·霍华德,文森特·多诺费奥,泰·辛普金斯,尼克·罗宾森",科林·特雷沃罗,7.7,侏罗纪世界
"陈飞宇,何蓝逗,惠英红,陶慧敏,汪苏泷",章笛沙,5.4,最好的我们
"周星驰,赵薇,吴孟达,谢贤,莫文蔚",周星驰,7.8,少林足球
"周冬雨,林更新,隋凯,王啸坤,龚格尔",郭帆,5.9,同桌的妳
"马克·沃尔伯格,伊莎贝拉·莫奈,劳拉·哈德克,安东尼·霍普金斯,乔什·杜哈明",迈克尔·贝,4.9,变形金刚5：最后的骑士
"成龙,权相宇,廖凡,姚星彤,张蓝心",成龙,6.7,十二生肖
"吴君如,任达华,钟绍图,李治廷,蔡颖恩",罗启锐,8.7,岁月神偷
"冯绍峰,刘亦菲,李光洁,郭京飞,焦俊艳",肖洋,5.5,二代妖精之今生有幸
"周润发,刘德华,张家辉,张学友,余文乐","王晶,刘伟强",4.2,澳门风云3
"梁朝伟,章子怡,张震,宋慧乔,赵本山",王家卫,8.0,一代宗师
"周润发,杨紫琼,章子怡,张震,郎雄",李安,8.2,卧虎藏龙
"廖凡,李易峰,万茜,李纯,张国柱",谢东燊,4.9,心理罪
"井柏然,杨颖,李沁,王思聪,刘循子墨",赵天宇,4.8,微微一笑很倾城
"邓超,阮经天,刘诗诗,文淇,林嘉欣",徐纪周,5.9,心理罪之城市之光
"白百何,张子枫,魏大勋,许娣,李建义",彭宥纶,5.7,亲爱的新年好
"吴君如,沈腾,岳云鹏,张译,Papi酱",吴君如,4.2,妖铃铃
"吴亦凡,刘亦菲,金世佳,李沁,李梦",周拓如,4.2,致青春·原来你还在这里
"徐峥,莫文蔚,胡静,吕中,王耀庆",陈正道,7.6,催眠大师
"成龙,李治廷,张艺兴,索努·苏德,母其弥雅",唐季礼,5.0,功夫瑜伽
"陈坤,白百何,秦昊,喻恩泰,王彦霖",杨庆,7.2,火锅英雄
"夏雨,宁静,陶虹,耿乐,斯琴高娃",姜文,8.8,阳光灿烂的日子
"迪丽热巴,张云龙,高伟光,金晨,马薇薇","李海蜀,黄彦威",4.8,傲娇与偏见
"徐峥,黄渤,余男,多布杰,王双宝",宁浩,8.2,无人区
"王千源,包贝尔,王迅,王砚辉,屈菁菁",五百,6.5,“大”人物
"莱昂纳多·迪卡普里奥,布拉德·皮特,玛格特·罗比,埃米尔·赫斯基,玛格丽特·库里",昆汀·塔伦蒂诺,7.3,好莱坞往事
"甄子丹,刘德华,姜皓文,郑则仕,刘浩龙","王晶,关智耀",7.2,追龙
"张曼玉,林青霞,梁家辉,甄子丹,熊欣欣","李惠民,姜明海",8.6,新龙门客栈
"古天乐,郑嘉颖,林峯,林家栋,周秀娜",林德禄 ,6.0,反贪风暴4
"宋洋,姜武,袁文康,谭卓,王梓尘",忻钰坤,8.3,暴裂无声
"白敬亭,郭姝彤,李宏毅,王鹤润,丁冠森",姚婷婷,6.6,谁的青春不迷茫
"甄子丹,任达华,熊黛林,池内博之,林家栋",叶伟信,7.6,叶问
"吴亦凡,林更新,姚晨,林允,包贝尔",徐克,5.5,西游伏妖篇
"郭富城,冯绍峰,赵丽颖,小沈阳,罗仲谦",郑保瑞,4.4,西游记女儿国
"张家辉,古天乐,吴镇宇,佘诗曼,许绍雄",文伟鸿,6.8,使徒行者
"马克·沃尔伯格,斯坦利·图齐,凯尔希·格兰莫,妮可拉·佩尔茨,杰克·莱诺",迈克尔·贝,6.6,变形金刚4：绝迹重生
"张震,刘诗诗,王千源,李东学,聂远",路阳,7.6,绣春刀
"刘德华,刘烨,吴若甫,王千源,林雪",丁晟,7.7,解救吾先生
"黄晓明,杨幂,佟大为,杨颖,谢依霖","杨文军,黄斌",3.7,何以笙箫默
"徐峥,王丽坤,王砚辉,段博文,任达华",任鹏远,5.7,幕后玩家
"杨幂,李易峰,陈数,王耀庆,张云龙","陈国辉,夏永康",4.4,怦然星动
"姚晨,马伊琍,袁文康,吴昊宸,王梓尘",吕乐,7.4,找到你
"霍卫民,王笑天,罗芸,杨瑜珍,孙黎",忻钰坤,8.7,心迷宫
"甄子丹,迈克·泰森,张晋,熊黛林,谭耀文",叶伟信,6.5,叶问3
"梁朝伟,金城武,陈奕迅,杨颖,张榕容",张嘉佳,4.1,摆渡人
"黄尧,孙阳,汤加文,倪虹洁,江美仪",白雪,7.7,过春天
"马特·达蒙,景甜,佩德罗·帕斯卡,刘德华,威廉·达福",张艺谋,4.9,长城
"葛优,白百何,李小璐,郑恺,范伟",冯小刚,5.7,私人订制
"何冰,韩童生,钱波,赵龙豪,米铁增",徐昂,8.4,十二公民
"张家辉,杨紫,任贤齐,李成敏,冯嘉怡",雷尼·哈林,5.3,沉默的证人
"井柏然,宋佳,马思纯,秦昊,陈妍希",娄烨,7.2,风中有朵雨做的云
"周迅,秦昊,杜江,张子枫,邓恩熙",岩井俊二,6.7,你好，之华
"周润发,张家辉,刘嘉玲,余文乐,王诗龄","王晶,张敏",5.5,澳门风云2
"于毅,何花,王瑞昌,岳丽娜,倪虹洁",巨兴茂,7.1,灵魂摆渡·黄泉
"白客,杨子姗,陈柏霖,马天宇,刘循子墨",易小星,5.6,万万没想到
"苏尚卿,王一博,段艺璇,马斑马,林强",奚超,6.1,昨日青空
"小连杀,图特哈蒙,金士杰,幽舞越山,李佳怡",不思凡,7.8,大护法
"汤姆·希德勒斯顿,布丽·拉尔森,塞缪尔·杰克逊,约翰·古德曼,景甜",乔丹·沃格特-罗伯茨,6.5,金刚：骷髅岛
"郑恺,郭采洁,王传君,张殿伦,张艺兴",田羽生,5.1,前任2：备胎反击战
"周润发,谢霆锋,景甜,高虎,吴辰君","王晶,钟少雄",5.7,澳门风云
"乔·阿尔文,加内特·赫德兰,克里斯汀·斯图尔特,范·迪塞尔,李淳",李安,8.4,比利·林恩的中场战事
"董子健,秦海璐,咏梅,焦刚,安悦溪",刘杰,7.4,青春派
"路知行,阎萌萌,褚珺,边江,山新",刘阔,6.9,风语咒
"汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉,丽贝卡·弗格森,文·瑞姆斯",克里斯托弗·麦奎里,7.8,碟中谍5：神秘国度
"包贝尔,宋佳,朱亚文,焦俊艳,郭京飞",文章,5.5,陆垚知马俐
"丁建华,毕克,苏秀,程晓桦,施融","王树忱,钱运达,苏秀,张欣,刘风",9.2,天书奇谭
"葛优,舒淇,范伟,方中信,胡可",冯小刚,7.2,非诚勿扰
"周迅,黄晓明,隋棠,谢依霖,康晋荣",彭浩翔,5.7,撒娇女人最好命
